fecha;interno;Odometro;SoC_In;SoC_Out;Kwh;DoD;SoH;serv;cee;cee dod
2024-08-03;3024;144611;33;96;;;;;;
2024-08-03;3024;144611;49;78;;;;;;
2024-08-04;3024;144611;62;93;;;;;;
2024-08-05;3024;144611;43;96;;;;;;
2024-08-05;3024;144611;59;86;;;;;;
2024-08-06;3024;144611;69;95;;;;;;
2024-08-07;3024;144611;51;96;;;;;;
2024-08-08;3024;144611;59;96;;;;;;
2024-08-09;3024;144611;56;66;;;;;;
2024-08-09;3024;144611;26;96;;;;;;
2024-08-10;3024;144611;42;76;;;;;;
2024-08-11;3024;144611;37;100;;;;;;
2024-08-12;3024;144611;34;96;;;;;;
2024-08-12;3024;144611;63;96;;;;;;
2024-08-13;3024;144611;47;96;;;;;;
2024-08-13;3024;144611;54;81;;;;;;
2024-08-14;3024;144611;53;100;;;;;;
2024-08-14;3024;144611;63;84;;;;;;
2024-08-15;3024;144611;38;96;;;;;;
2024-08-15;3024;144611;49;96;;;;;;
2024-08-16;3024;144611;34;96;;;;;;
2024-08-17;3024;144611;56;75;;;;;;
2024-08-17;3024;144611;49;100;;;;;;
2024-08-18;3024;144611;57;96;;;;;;
2024-08-19;3024;144611;62;92;;;;;;
2024-08-19;3024;144611;49;96;;;;;;
2024-08-20;3024;144611;64;87;;;;;;
2024-08-20;3024;144611;45;100;;;;;;
2024-08-21;3024;144611;60;96;;;;;;
2024-08-22;3024;144611;54;96;;;;;;
2024-08-22;3024;144611;53;78;;;;;;
2024-08-23;3024;144611;43;96;;;;;;
2024-08-23;3024;144611;31;95;;;;;;
2024-08-24;3024;144611;64;100;;;;;;
2024-08-25;3024;144611;65;84;;;;;;
2024-08-26;3024;144611;28;96;;;;;;
2024-08-26;3024;144611;33;60;;;;;;
2024-08-26;3024;144611;60;96;;;;;;
2024-08-28;3024;144611;51;100;;;;;;
2024-08-28;3024;144611;59;86;;;;;;
2024-08-29;3024;144611;37;84;;;;;;
2024-08-29;3024;144611;57;95;;;;;;
2024-08-30;3024;144611;52;94;;;;;;
2024-09-01;3024;144611;38;98;;;;;;
2024-09-02;3024;144611;36;96;;;;;;
2024-09-02;3024;144611;66;96;;;;;;
2024-09-03;3024;144611;35;96;;;;;;
2024-09-03;3024;144611;59;87;;;;;;
2024-09-04;3024;144611;57;100;;;;;;
2024-09-04;3024;144611;33;95;;;;;;
2024-09-05;3024;144611;28;95;;;;;;
2024-09-06;3024;144611;61;93;;;;;;
2024-09-06;3024;144611;64;98;;;;;;
2024-09-07;3024;144611;53;96;;;;;;
2024-09-09;3024;144611;33;95;;;;;;
2024-09-10;3024;144611;53;74;;;;;;
2024-09-10;3024;144611;29;100;;;;;;
2024-09-11;3024;144611;73;92;;;;;;
2024-09-11;3024;144611;45;73;;;;;;
2024-09-11;3024;144611;56;95;;;;;;
2024-09-12;3024;144611;32;95;;;;;;
2024-09-13;3024;144611;29;96;;;;;;
2024-09-14;3024;144611;63;92;;;;;;
2024-09-14;3024;144611;55;100;;;;;;
2024-09-15;3024;144611;65;88;;;;;;
2024-09-16;3024;144611;32;96;;;;;;
2024-09-16;3024;144611;62;81;;;;;;
2024-09-17;3024;144611;50;95;;;;;;
2024-09-17;3024;144611;58;82;;;;;;
2024-09-18;3024;144611;51;100;;;;;;
2024-09-18;3024;144611;76;96;;;;;;
2024-09-19;3024;144611;71;96;;;;;;
2024-09-22;3024;144611;79;100;;;;;;
2024-09-23;3024;144611;51;56;;;;;;
2024-09-23;3024;144611;57;95;;;;;;
2024-09-24;3024;144611;31;99;;;;;;
2024-09-25;3024;144611;54;95;;;;;;
2024-09-26;3024;144611;57;96;;;;;;
2024-09-26;3024;144611;48;84;;;;;;
2024-09-26;3024;144611;46;95;;;;;;
2024-09-27;3024;144611;68;96;;;;;;
2024-09-28;3024;144611;50;71;;;;;;
2024-09-28;3024;144611;46;99;;;;;;
2024-09-29;3024;144611;72;96;;;;;;
2024-09-29;3024;144611;69;95;;;;;;
2024-10-01;3024;144611;55;96;;;;;;
