FECHA;INTERNO;ODO;SOCIN;SOCOUT;KHW;DOD;SOH;SERV;CEE;CEEDOD
03-08-2024;3024;144611;33;96;;;;;;
03-08-2024;3024;144611;49;78;;;;;;
04-08-2024;3024;144611;62;93;;;;;;
05-08-2024;3024;144611;43;96;;;;;;
05-08-2024;3024;144611;59;86;;;;;;
06-08-2024;3024;144611;69;95;;;;;;
07-08-2024;3024;144611;51;96;;;;;;
08-08-2024;3024;144611;59;96;;;;;;
09-08-2024;3024;144611;56;66;;;;;;
09-08-2024;3024;144611;26;96;;;;;;
10-08-2024;3024;144611;42;76;;;;;;
11-08-2024;3024;144611;37;100;;;;;;
12-08-2024;3024;144611;34;96;;;;;;
12-08-2024;3024;144611;63;96;;;;;;
13-08-2024;3024;144611;47;96;;;;;;
13-08-2024;3024;144611;54;81;;;;;;
14-08-2024;3024;144611;53;100;;;;;;
14-08-2024;3024;144611;63;84;;;;;;
15-08-2024;3024;144611;38;96;;;;;;
15-08-2024;3024;144611;49;96;;;;;;
16-08-2024;3024;144611;34;96;;;;;;
17-08-2024;3024;144611;56;75;;;;;;
17-08-2024;3024;144611;49;100;;;;;;
18-08-2024;3024;144611;57;96;;;;;;
19-08-2024;3024;144611;62;92;;;;;;
19-08-2024;3024;144611;49;96;;;;;;
20-08-2024;3024;144611;64;87;;;;;;
20-08-2024;3024;144611;45;100;;;;;;
21-08-2024;3024;144611;60;96;;;;;;
22-08-2024;3024;144611;54;96;;;;;;
22-08-2024;3024;144611;53;78;;;;;;
23-08-2024;3024;144611;43;96;;;;;;
23-08-2024;3024;144611;31;95;;;;;;
24-08-2024;3024;144611;64;100;;;;;;
25-08-2024;3024;144611;65;84;;;;;;
26-08-2024;3024;144611;28;96;;;;;;
26-08-2024;3024;144611;33;60;;;;;;
26-08-2024;3024;144611;60;96;;;;;;
28-08-2024;3024;144611;51;100;;;;;;
28-08-2024;3024;144611;59;86;;;;;;
29-08-2024;3024;144611;37;84;;;;;;
29-08-2024;3024;144611;57;95;;;;;;
30-08-2024;3024;144611;52;94;;;;;;
01-09-2024;3024;144611;38;98;;;;;;
