idinterno;odometro;patente;predio
3000;78523;SJTD55;CONDELL
3001;146869;SJTD56;CONDELL
3002;139172;SJTD57;CONDELL
3003;134107;SJTD58;CONDELL
3004;140855;SJTD61;CONDELL
3005;150656;SJTD62;CONDELL
3006;150362;SJTD63;CONDELL
3007;144081;SJTD64;CONDELL
3008;139130;SJTD65;CONDELL
3009;149874;SJTD66;CONDELL
3010;119932;SKHF49;CONDELL
3011;140969;SKHF84;CONDELL
3012;135034;SKHF87;CONDELL
3013;147280;SKHF91;CONDELL
3014;143788;SKHF92;CONDELL
3015;149071;SKHG14;CONDELL
3016;152269;SKHG17;CONDELL
3017;114194;SKHG20;CONDELL
3018;133685;SKHG33;CONDELL
3019;161710;SKHG37;CONDELL
3020;138513;SKHG39;CONDELL
3021;148867;SKHG40;CONDELL
3022;136583;SKHG42;CONDELL
3023;155590;SKHG47;EL RETIRO
3024;145501;SKHG55;EL RETIRO
3025;145729;SKHG57;EL RETIRO
3026;149367;SKHG59;EL RETIRO
3027;150388;SKHG62;EL RETIRO
3028;131536;SKHG65;EL RETIRO
3029;145737;SKHG69;EL RETIRO
3030;138312;SKHG70;EL RETIRO
3031;139873;SKHG73;EL RETIRO
3032;152458;SKHG74;EL RETIRO
3033;144436;SKHG79;EL RETIRO
3034;137943;SKHG80;EL RETIRO
3035;146480;SKHG82;EL RETIRO
3036;143786;SKHG85;EL RETIRO
3037;143676;SKHG89;EL RETIRO
3038;145903;SKHG90;EL RETIRO
3039;150272;SKHG92;EL RETIRO
3040;135632;SKHG93;EL RETIRO
3041;108344;SKHG95;EL RETIRO
3042;136990;SPZX34;EL RETIRO
3043;134332;SPZX36;CONDELL
3044;133856;SPZX39;CONDELL
3045;112589;SPZX41;CONDELL
3046;135645;SPZX42;CONDELL
3047;139451;SPZX46;CONDELL
3048;132460;SPZX51;CONDELL
3049;135639;SPZX55;CONDELL
3050;139490;SPZX56;CONDELL
3051;136219;SPZX58;CONDELL
3052;118564;STGZ28;SANTA MARTA
3053;127339;STGZ62;SANTA MARTA
3054;114806;STGZ85;SANTA MARTA
3055;116880;STHB12;SANTA MARTA
3056;115676;STHB21;SANTA MARTA
3057;120633;STHB29;SANTA MARTA
3058;113438;STHB36;SANTA MARTA
3059;125640;STHB50;CONDELL
3060;114990;STHB62;SANTA MARTA
3061;121779;STHC45;SANTA MARTA
3062;116920;STHC51;SANTA MARTA
3063;115679;STHC54;SANTA MARTA
3064;130345;STHC69;SANTA MARTA
3065;132292;STHD21;CONDELL
3066;134378;STHD35;CONDELL
3067;119805;STHD47;CONDELL
3068;133455;STHD54;CONDELL
3069;136770;STHD65;CONDELL
3070;127402;STHD72;CONDELL
3071;134465;STHF13;CONDELL
3072;135718;STHF15;CONDELL
3073;116279;STHF31;SANTA MARTA
3074;132223;STHF35;CONDELL
3075;136254;STHF42;CONDELL
3076;138918;STHF45;CONDELL
3077;126676;STHF49;CONDELL
3078;121717;STHF54;SANTA MARTA
3079;139028;STHF62;CONDELL
3080;114925;STHF70;SANTA MARTA
3081;132964;STHF76;CONDELL
3082;136195;STHF77;SANTA MARTA
3083;109793;STHF78;SANTA MARTA
3084;119726;STHF82;SANTA MARTA
3085;108245;STHF84;SANTA MARTA
3086;136540;STHF88;SANTA MARTA
3087;115795;STHJ61;SANTA MARTA
3088;117160;STHJ68;SANTA MARTA
3089;122635;STHJ72;SANTA MARTA
3090;120099;STHJ74;SANTA MARTA
3091;108306;STHJ81;SANTA MARTA
3092;118523;STHJ86;SANTA MARTA
3093;106014;STHJ89;SANTA MARTA
3094;104693;STHJ98;SANTA MARTA
3095;120311;STHJ99;SANTA MARTA
3096;121147;STHK10;SANTA MARTA
3097;138253;STHK12;SANTA MARTA
3098;112550;STHK13;SANTA MARTA
3099;128006;STHK20;SANTA MARTA
3100;112987;STHK27;SANTA MARTA
3101;125096;STHK28;SANTA MARTA
3102;116926;STHK36;SANTA MARTA
3103;126680;STHK38;SANTA MARTA
3104;137262;STHK39;SANTA MARTA
3105;122134;STHK53;SANTA MARTA
3106;123617;STHK62;SANTA MARTA
3107;120321;STHK69;SANTA MARTA
3108;121234;STHK70;SANTA MARTA
3109;95570;STHL11;SANTA MARTA
3110;106507;STHL27;SANTA MARTA
3111;116041;STHL29;SANTA MARTA
3112;120343;STHL35;SANTA MARTA
3113;142466;STHL42;SANTA MARTA
3114;119602;STHL46;SANTA MARTA
3115;202607;STHL51;SANTA MARTA
3116;137707;STHL95;SANTA MARTA
3117;134992;STHP12;SANTA MARTA
3118;123042;STHP52;SANTA MARTA
3119;130971;STHP97;SANTA MARTA
3120;125064;STHR18;SANTA MARTA
3121;117889;STHR23;SANTA MARTA
3122;123452;STHR36;SANTA MARTA
3123;119624;STHR46;SANTA MARTA
3124;122645;STHR60;SANTA MARTA
3125;123342;STHR72;SANTA MARTA
3126;126810;STHR80;SANTA MARTA
3127;4171;TXZH25;SANTA MARTA
3128;5498;TXZH26;SANTA MARTA
3129;4028;TXZH28;SANTA MARTA
3130;5258;TXZH30;SANTA MARTA
3131;4798;TXZH31;SANTA MARTA
3132;5803;TXZH32;SANTA MARTA
3133;3197;TXZH33;CONDELL
3134;3499;TXZH34;CONDELL
3135;1899;TXZH35;CONDELL
3136;1504;TXZH36;CONDELL
3137;4137;TXZH37;CONDELL
3138;3282;TXZH38;CONDELL
3139;2290;TXZH39;CONDELL
