Fecha;Interno;Km
01-07-2024;3001;278,55
01-07-2024;3002;190,2
01-07-2024;3004;150,66
01-07-2024;3005;113,77
01-07-2024;3006;259,64
01-07-2024;3007;196,42
01-07-2024;3008;186,1
01-07-2024;3009;243,89
01-07-2024;3011;274,14
01-07-2024;3012;278,38
01-07-2024;3013;227,58
01-07-2024;3014;242,52
01-07-2024;3015;194,16
01-07-2024;3097;252,78
01-07-2024;3098;204,2
01-07-2024;3099;243,44
01-07-2024;3100;216,49
01-07-2024;3101;191,58
01-07-2024;3102;151,88
01-07-2024;3103;148,71
01-07-2024;3104;205,55
01-07-2024;3105;247,52
01-07-2024;3106;233,21
01-07-2024;3107;270,69
01-07-2024;3108;131,34
01-07-2024;3110;196,55
01-07-2024;3111;265,3
01-07-2024;3112;219,7
01-07-2024;3113;195,12
01-07-2024;3114;246,13
01-07-2024;3115;267,36
01-07-2024;3116;145,31
01-07-2024;7015;179,49
01-07-2024;7016;256,19
01-07-2024;7017;217,27
01-07-2024;7018;223,93
01-07-2024;7019;201,02
01-07-2024;7021;241,53
01-07-2024;7022;144,3
01-07-2024;7023;176,02
01-07-2024;7024;247,5
01-07-2024;7040;122,41
01-07-2024;7071;125,39
01-07-2024;7079;253,32
01-07-2024;7080;255,6
01-07-2024;7100;217,48
01-07-2024;7101;280,97
01-07-2024;7102;212,72
01-07-2024;7103;230,9
01-07-2024;7104;295,6
01-07-2024;7105;221,56
01-07-2024;7106;172,51
01-07-2024;7107;301,45
01-07-2024;7108;267,78
01-07-2024;7110;248,45
01-07-2024;7111;254,08
01-07-2024;7112;192,14
01-07-2024;7114;124,9
01-07-2024;7115;125,8
01-07-2024;7116;287,82
01-07-2024;7117;205,4
01-07-2024;7118;220,85
01-07-2024;7119;246,5
01-07-2024;7120;214,48
01-07-2024;7121;232,67
01-07-2024;7122;262,22
01-07-2024;7123;181,33
01-07-2024;7124;261,74
01-07-2024;7125;162,05
01-07-2024;7130;242,69
01-07-2024;7131;202
01-07-2024;7133;184,13
01-07-2024;7134;232,65
01-07-2024;7135;223,11
01-07-2024;7136;322,41
01-07-2024;7137;252,72
01-07-2024;7138;137,4
02-07-2024;3001;1647,91
02-07-2024;3002;1182,13
02-07-2024;3004;1517,87
02-07-2024;3005;1142,72
02-07-2024;3006;1488,37
02-07-2024;3007;1334,44
02-07-2024;3008;1082,14
